Train 0, loss: 0.979639, train acc: 0.779875, train avg acc: 0.575807, train iou: 0.464951
Test 0, loss: 0.927460, test acc: 0.824899, test avg acc: 0.804464, test iou: 0.602822
Train 1, loss: 0.865118, train acc: 0.880199, train avg acc: 0.814454, train iou: 0.689929
Test 1, loss: 0.866639, test acc: 0.872277, test avg acc: 0.817482, test iou: 0.696873
Train 2, loss: 0.848766, train acc: 0.893685, train avg acc: 0.838987, train iou: 0.724353
Test 2, loss: 0.848560, test acc: 0.891391, test avg acc: 0.845624, test iou: 0.733286
Train 3, loss: 0.839889, train acc: 0.901915, train avg acc: 0.851329, train iou: 0.741437
Test 3, loss: 0.924280, test acc: 0.844934, test avg acc: 0.761496, test iou: 0.640784
Train 4, loss: 0.834378, train acc: 0.906852, train avg acc: 0.860211, train iou: 0.754966
Test 4, loss: 0.839831, test acc: 0.899841, test avg acc: 0.879932, test iou: 0.755965
Train 5, loss: 0.831737, train acc: 0.908648, train avg acc: 0.864364, train iou: 0.758656
Test 5, loss: 0.866704, test acc: 0.880723, test avg acc: 0.859097, test iou: 0.701054
Train 6, loss: 0.829125, train acc: 0.911304, train avg acc: 0.868671, train iou: 0.761356
Test 6, loss: 0.845039, test acc: 0.898870, test avg acc: 0.841685, test iou: 0.751569
Train 7, loss: 0.826426, train acc: 0.912463, train avg acc: 0.871719, train iou: 0.766876
Test 7, loss: 0.843474, test acc: 0.895613, test avg acc: 0.806156, test iou: 0.729650
Train 8, loss: 0.825306, train acc: 0.913885, train avg acc: 0.872431, train iou: 0.766809
Test 8, loss: 0.847652, test acc: 0.899275, test avg acc: 0.798864, test iou: 0.732892
Train 9, loss: 0.822427, train acc: 0.916328, train avg acc: 0.876246, train iou: 0.773418
Test 9, loss: 0.849111, test acc: 0.892399, test avg acc: 0.903900, test iou: 0.747889
Train 10, loss: 0.819849, train acc: 0.917973, train avg acc: 0.879774, train iou: 0.778706
Test 10, loss: 0.883791, test acc: 0.875541, test avg acc: 0.881448, test iou: 0.675912
Train 11, loss: 0.819672, train acc: 0.917985, train avg acc: 0.880058, train iou: 0.781959
Test 11, loss: 0.845526, test acc: 0.894865, test avg acc: 0.830564, test iou: 0.740804
Train 12, loss: 0.817298, train acc: 0.920530, train avg acc: 0.883955, train iou: 0.781764
Test 12, loss: 0.853362, test acc: 0.887754, test avg acc: 0.885588, test iou: 0.746797
Train 13, loss: 0.815998, train acc: 0.920741, train avg acc: 0.883852, train iou: 0.785516
Test 13, loss: 0.852894, test acc: 0.889135, test avg acc: 0.834079, test iou: 0.731463
Train 14, loss: 0.816833, train acc: 0.920567, train avg acc: 0.881813, train iou: 0.781798
Test 14, loss: 0.844214, test acc: 0.898490, test avg acc: 0.856943, test iou: 0.746038
Train 15, loss: 0.812920, train acc: 0.923520, train avg acc: 0.888684, train iou: 0.792141
Test 15, loss: 0.891801, test acc: 0.864459, test avg acc: 0.849252, test iou: 0.721528
Train 16, loss: 0.813628, train acc: 0.923142, train avg acc: 0.886769, train iou: 0.791319
Test 16, loss: 0.866100, test acc: 0.874472, test avg acc: 0.738424, test iou: 0.677206
Train 17, loss: 0.811888, train acc: 0.924470, train avg acc: 0.889444, train iou: 0.794846
Test 17, loss: 0.839436, test acc: 0.901067, test avg acc: 0.825103, test iou: 0.744748
Train 18, loss: 0.810689, train acc: 0.924989, train avg acc: 0.888930, train iou: 0.794856
Test 18, loss: 0.866894, test acc: 0.876913, test avg acc: 0.780512, test iou: 0.698722
Train 19, loss: 0.811676, train acc: 0.924661, train avg acc: 0.888290, train iou: 0.792013
Test 19, loss: 0.845153, test acc: 0.899652, test avg acc: 0.848019, test iou: 0.727028
Train 20, loss: 0.810488, train acc: 0.925974, train avg acc: 0.889961, train iou: 0.793920
Test 20, loss: 0.836640, test acc: 0.903206, test avg acc: 0.820608, test iou: 0.747133
Train 21, loss: 0.807333, train acc: 0.927593, train avg acc: 0.893755, train iou: 0.800480
Test 21, loss: 0.852428, test acc: 0.891410, test avg acc: 0.841765, test iou: 0.727502
